Company Name,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions
Metal Link Alloys Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94,112.08,3.56,3/31/2006,6.53,111.2,107.3,47.32,47.32,111.85,,-0.98,-1.16,1.01,1.01,17.23,9.25,144.45,3.56,3/31/2007,2.06,145.68,140.09,51.84,51.84,143.53,,-4.71,1.29,1.31,1.52,13.44,11.85,158.92,3.64,3/31/2008,11.81,155.68,148.46,52.94,52.94,158.06,,0.3,0.03,2.07,2.28,8.01,13.63,168.49,3.64,3/31/2009,7.82,168.04,160.43,66.02,66.02,167.17,,-0.35,-4.3,1.78,1.99,9.91,16.58,185.46,3.64,3/31/2010,10.33,182.9,174.7,83.28,83.28,184.51,,-5.26,7.29,2.96,3.17,20.69,19.35,230.29,3.64,3/31/2011,21.82,221.17,211.24,96.68,96.68,229.64,,-1.08,2.82,3.67,3.88,62.84,24.93,314.12,3.64,3/31/2012,33.01,311.31,297.64,148.63,148.63,312.68,,-2.46,-15.09,5.45,5.66,98.37,7.93,283.24,3.64,3/31/2013,-7.63,300.62,287.95,112.74,112.74,282.03,,-11.71,14.11,-17,-17,93.13
Micro Forge (India) Ltd.,4.59,33.63,5.61,3/31/2002,4.93,33.9,31.7,18.83,18.83,32.8,2.41,-0.39,3.57,1.14,1.14,0.69,5.82,31.74,5.61,3/31/2003,6.72,29.86,27.62,23.73,23.73,30.05,2.29,-0.99,-1.88,1.14,1.14,1.6,6.59,30.8,5.61,3/31/2004,4.98,31.18,28.6,29.55,29.55,29.83,2.18,-1.39,-2.08,0.77,0.77,3.24,2.94,48.06,5.61,3/31/2005,-8.65,51.43,44.72,33.36,33.36,46.27,2.08,-5.04,4.05,-3.65,-3.65,10,3.23,55.74,5.61,3/31/2006,-11.88,57.46,54.27,39.54,39.54,53.96,1.97,-0.28,1.17,0.28,0.28,15.82,6.33,79.74,5.61,3/31/2007,0.74,77.22,73.7,36.28,36.28,71.72,1.88,-0.11,0.89,3.1,3.1,8.72,-10.91,79.16,5.61,3/31/2008,-19.22,96.9,93.73,39.41,39.41,78.28,1.79,-6.68,-10.83,-17.24,-17.24,8.99,-20.36,23.63,5.61,3/31/2009,-25.97,24.55,19.29,27.05,27.05,20.83,1.71,-1.03,4.24,-9.45,-9.45,3.83,-25.18,0.85,5.61,3/31/2010,-27.83,5.67,0.69,26.97,26.97,0.82,1.62,0.01,-0.08,-4.82,-4.82,8.57,-25.54,3.14,5.61,3/31/2011,-28.1,3.7,3.56,26.62,26.62,3.14,1.54,0.06,0.02,-0.36,-0.36,8.58
Mukund Syntex Ltd.,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,0.86,,,,,,0.62,21.63,0.96,3/31/1994,2.02,21.71,21.24,9.04,9.04,21.61,0.86,,,0.08,0.2,1.92,1.37,24.77,4.27,3/31/1995,1.52,24.29,23.53,10.74,10.74,24.65,0.86,,,0.75,0.75,2.27,-0.3,24.18,4.27,3/31/1996,0.27,27.34,26.07,10.36,10.36,24.14,0.67,-0.36,0.71,-1.67,-1.67,3.16,-0.27,18.87,4.28,3/31/1997,0.49,17.39,16.37,9.7,9.7,18.85,0.8,-0.16,1.16,0.03,0.03,2.82,-1.4,11.85,4.28,3/31/1998,-0.42,12.67,11.74,7.1,7.1,11.8,0.86,0.02,0.68,-1.13,-1.13,1.58
Nachmo Knitex Ltd.,5.32,15.9,4.22,6/30/1995,6.38,12.55,11.25,18.63,18.63,13.92,0.74,,,2.17,3.01,3.93,7.51,22.68,4.22,6/30/1996,1.68,19.75,17.74,25.4,25.4,21.68,0.75,-2.13,1.91,2.19,3.12,7.31,31.33,25.56,9.9,6/30/1997,11.55,25.13,23.7,73.71,73.71,23.3,0.78,-38.37,-1.96,1.91,3.16,6.33,36.75,44.4,12.87,6/30/1998,11.31,38.15,34.44,80.34,80.34,42.99,0.77,-8.88,3.75,2.47,3.87,6.39,38.66,58.29,12.87,6/30/1999,12.25,57.99,50.65,91.78,91.78,57.75,0.8,-10.36,4.85,1.91,3.34,6.81,41.02,90.16,12.87,6/30/2000,19.13,86.05,74.07,98.35,98.35,89.61,0.77,-0.52,7.17,2.37,3.93,6.3,40.96,143.97,12.87,12/31/2001,31.28,144.04,124.05,121.02,121.02,143.21,0.74,0.78,-4.11,-0.07,-0.07,11.68,-13.85,93.96,15.03,3/31/2006,-3.85,102.51,94.36,67.44,67.44,93.76,0.74,0.11,10.8,-8.76,-8.76,9.24,-18.6,66.54,15.03,3/31/2007,-5.65,71.16,65.46,64.02,64.02,66.5,0.71,-0.13,1.65,-4.74,-4.74,11.37,-47.7,47.77,15.03,3/31/2008,-18.28,77.69,47.33,40.76,40.76,47.71,0.68,-0.19,0.5,-29.1,-29.1,16.78
Neel Industries Pvt. Ltd.,,,,,,,,,,,,,,,,,12.21,66.47,0.86,3/31/2013,-3.43,65.31,61.4,33.84,33.84,66.42,,0.59,-0.44,1.89,1.89,20.75,14.95,93.88,0.86,3/31/2014,0.31,93.79,90.6,37.54,37.54,93.84,,-0.27,0.36,2.75,2.75,21.73,18.44,96.42,0.86,3/31/2015,6.11,94.31,91.03,35.52,35.52,96.37,,-0.88,1.9,0.88,0.88,15.98,19.19,94.12,0.86,3/31/2016,8.01,92.18,89.26,34.27,34.27,94.1,,-0.97,2.2,0.76,0.76,13.98,17.9,88.76,0.86,3/31/2017,6.1,91.88,89.88,38,38,88.64,,-1.65,1.04,-1.29,-1.29,19,18.94,109.47,0.86,3/31/2018,7.62,106.09,103.12,46.1,46.1,109.41,,-1.16,2.22,1.04,1.04,26.06,19.77,144.26,0.86,3/31/2019,9.25,144.45,141.92,47.85,47.85,144.21,,-0.42,-1.34,0.83,0.83,26.98,20.19,111.56,0.86,3/31/2020,10.32,110.8,108.78,40.57,40.57,111.53,,-0.41,2.94,0.42,0.42,19.28,20.63,94.28,0.86,3/31/2021,11.65,94.44,92.79,43.48,43.48,94.26,,-0.27,1.86,0.43,0.43,21.75
Nilgiri Tea Estates Ltd.,-2.96,2.59,0.19,3/31/2012,-2.93,4.08,3.79,2.07,2.07,2.58,,-0.08,-0.69,-1.6,-1.6,3.46,-3.95,3.86,0.19,3/31/2013,-3.64,5.03,4.59,2.63,2.63,3.86,,-0.05,-0.49,-0.99,-0.99,4.78,-4.76,4.4,0.19,3/31/2014,-4.27,5.5,4.76,3.23,3.23,4.39,,-0.08,-0.08,-0.81,-0.81,5.97,-6.01,4.3,0.19,3/31/2015,-5.37,5.23,4.71,2.63,2.63,4.28,,1.17,-0.84,-1.26,-1.26,6.47,-8.21,3.35,0.19,3/31/2016,-7.51,5.46,4.95,2.75,2.75,3.33,,1.04,-1.43,-2.2,-2.2,8.68,-10.28,4.09,0.19,3/31/2017,-9.24,6.29,5.77,2.87,2.87,4.07,,1.18,-1.17,-2.07,-2.07,10.54,-11.73,6,0.19,3/31/2018,-10.62,7.41,6.89,2.92,2.92,5.98,,0.79,-0.72,-1.45,-1.45,11.91,-12.14,8.77,0.19,3/31/2019,-11.58,9.24,7.72,3.73,3.73,5.49,,3.32,-2.6,-0.4,-0.4,13.03,-14.81,4.79,0.19,3/31/2020,-13.83,7.62,6.96,3.86,3.86,4.64,,0.33,-0.88,-2.67,-2.67,15.28,-16.65,4.95,0.19,3/31/2021,-15.89,6.63,6,3.94,3.94,4.53,,-0.15,-0.58,-1.84,-1.84,17.24
Nova Oleochem Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,3.36,0.12,3/31/2007,0.4,3.66,3.59,1.29,1.29,3.19,,,,-0.01,0,0.68,0.1,4.67,7.15,3/31/2008,0.47,5.22,5.11,9.55,9.55,4.4,,,,0.02,0.08,1.92,0.7,33.24,7.15,3/31/2010,6.89,33.12,31.79,19.33,19.33,33.21,,,,0.54,0.54,1.49,5.87,59.32,7.31,3/31/2011,6.35,60.35,58.82,32.92,32.92,59.25,,-2.25,-0.23,1.01,1.04,18.22,7.35,90.7,7.31,3/31/2012,6.28,87.56,84.18,47.74,47.74,90.22,,-0.74,-4.96,1.48,1.5,30.95,8.98,80.81,7.31,3/31/2013,10.98,79.81,75.44,60.78,60.78,79.6,,0.47,-3.3,1.64,1.67,40.93,9.13,39.94,7.49,3/31/2014,22.34,38.28,33.63,47.71,47.71,37.29,,0.32,0.92,-0.13,-0.13,17.82
Nucor Wires Ltd.,,,,,,,,,,,2.36,,,,,,,,,,,,,,,,1.86,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,2.43,,,,,,0.36,2.3,4.5,3/31/1994,0.39,2.5,2,14.44,14.44,2.3,2.4,,,0.36,0.36,1.3,5.58,10.62,6.75,3/31/1995,5.58,8.85,6.85,24.35,24.35,10.6,2.19,,,0.72,1.64,2.43,7.59,14.69,6.75,3/31/1996,5.63,13.49,10.78,29.14,29.14,14.66,1.65,-2.78,1.54,2.01,2.01,2.95,-0.48,5.63,6.75,9/30/1997,3.17,14.73,6.98,27.71,27.71,5.61,1.25,-0.68,-0.69,-8.07,-8.07,4.34
Nufab Industries Ltd.,0.46,20.49,3.99,3/31/1993,0.43,19.98,19.28,8.56,8.56,20.17,1.16,,,0.12,0.45,1.16,1.02,31.79,3.99,3/31/1994,1.09,30.66,29.6,11.86,11.86,31.59,1.12,,,0.56,1.2,2.76,1.62,36.33,3.99,3/31/1995,0.25,35.84,34.26,16.85,16.85,36.12,1.2,-3.07,-0.22,0.6,1.32,2.34,2.51,45.08,3.99,3/31/1996,2.06,43.8,41.32,18.2,18.2,44.77,1.2,-0.63,1.93,0.88,1.28,2.78,3.89,52.09,3.99,6/30/1997,0.89,51.17,47.86,23.21,23.21,51.69,1.2,-4.7,5.02,0.59,0.92,4.36,2.63,33.52,3.99,6/30/1998,-0.61,35.01,31.88,19.58,19.58,33.26,1.48,-0.35,2.71,-1.27,-1.27,2.6,0.44,25.49,3.99,6/30/1999,-3.27,28.35,25.29,17.8,17.8,25.38,1.78,-0.4,3.05,-2.19,-2.19,3.47,-2,40.7,3.99,12/31/2000,-2.56,43.53,41.03,14.22,14.22,40.65,1.76,,,-2.44,-2.44,4.17,-7.77,44.56,3.99,6/30/2002,-6.77,48.78,42.93,9.8,9.8,44.51,1.8,-0.37,2.22,-5.77,-5.77,3.97,-9.89,11.81,3.99,12/31/2003,-6.99,13.62,11.9,7.21,7.21,11.76,1.72,-0.01,0.36,-2.12,-2.12,3.41
O T C Exchange Of India,28.93,3.34,10,3/31/2008,31.83,2.14,1.27,47.65,47.65,,,,,1.2,1.2,8.72,30.76,3.23,10,3/31/2009,34.25,2.41,1.28,49.74,49.74,,,,,0.82,0.82,8.98,33.08,3.28,10,3/31/2010,37,1.97,1.21,52.46,52.46,,,,,1.31,1.31,9.38,27.33,3.49,10,3/31/2011,17.78,1.67,1.26,49.75,49.75,,,,,1.82,1.82,12.42,39.73,4.04,10,3/31/2012,5.96,1.61,1.19,58.98,58.98,0.17,,,,2.43,2.43,6.12,42.7,3.93,10,3/31/2013,6.15,2.18,1.39,61.44,61.44,0.18,,,,1.75,1.75,6.07,45.92,3.69,10,3/31/2014,5.02,1.81,1.56,64.37,64.37,0.18,,,,1.88,1.88,8.26,40.82,4.77,10,3/31/2015,32.65,3.85,1.56,60.37,60.37,0.21,,3.8,-1.43,0.92,0.92,9.36,36.02,4.29,10,3/31/2016,37.62,2.64,2.07,65.07,65.07,0.22,,1,-1.72,1.65,1.65,12.22,37.25,4.47,10,3/31/2017,38.62,3.04,1.48,63.13,63.13,0.22,,-2.04,0.99,1.43,1.43,9.06
Ojas Technochem Products Ltd.,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,1.83,,,,,,0.8,1.56,5.75,3/31/1996,2.07,9.31,1.58,8.24,8.24,1.16,1.83,,,-7.66,-7.66,0.97,0.12,0.85,5.75,3/31/1997,1.79,1.59,1.07,7.36,7.36,0.85,1.83,,,-0.77,-0.77,0.93,-0.1,1.1,5.75,3/31/1998,1.79,1.33,0.88,7.05,7.05,0.78,1.83,,,-0.22,-0.22,0.25,-0.48,0.59,6.59,3/31/1999,2.25,0.99,0.6,6.98,6.98,0.59,1.7,,0.14,-0.38,-0.38,0.27,-0.31,6.53,12.59,3/31/2000,7.42,9.42,9.09,15.18,15.18,6.53,1.32,0.39,-6.44,0.17,0.17,2.24
Pam Systems Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,2.8,0.2,3/31/2014,0.05,2.52,2.41,1.91,1.91,2.77,,,,0.1,0.1,1.37,0.5,5.61,0.2,3/31/2015,0.21,5.24,5.01,3.1,3.1,5.31,,-0.09,0.8,0.27,0.27,2.25,1.14,8.29,0.2,3/31/2016,0.87,7.52,7.03,3.45,3.45,7.99,,-0.12,-0.93,0.64,0.64,1.98,1.81,5.54,0.4,3/31/2017,1.14,4.87,4.48,4.96,4.96,5.44,,-0.35,0.13,0.67,0.67,2.56,2.8,9.09,0.4,3/31/2018,1.62,8.63,8,6.43,6.43,9.05,,-0.31,-0.02,0.99,0.99,3.06,3.68,12.52,0.4,3/31/2019,2.01,11.61,11.14,9.05,9.05,12.33,,-0.05,-1.23,0.88,0.88,4.73,3.3,8.38,0.4,3/31/2020,1.35,9.11,8.89,7.65,7.65,8.13,,-0.26,0.75,-0.37,-0.37,3.75
Planet 'M' Retail Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.53,41.56,1,3/31/2008,-182.41,87.06,82.25,223.98,223.98,41.49,,-91.74,-104.83,-6.53,-6.53,27.31,-51.32,166.06,1.1,3/31/2009,-235.25,222.16,221.89,248.15,248.15,165.86,,-21.11,228.2,-44.79,-44.79,293.08,-91.24,200.64,1.1,3/31/2010,-230,246.41,249.72,220.43,220.43,200.59,,0.74,6,-39.92,-39.92,303.29,-161.29,224.73,1.1,3/31/2011,-270.9,296.97,269.38,193.05,193.05,224.69,,-3.11,-3.69,-70.05,-70.05,346.72,-177.55,190.49,1.1,3/31/2012,-279.83,190.26,182.68,163.61,163.61,190.39,,-0.75,0.45,-16.25,-16.25,334.66,-217.24,211.5,1.1,3/31/2013,-22.67,247.26,206.16,160.8,160.8,206.45,,-0.17,-255.03,-39.69,-39.69,73.09,-226.53,202.04,1.1,3/31/2014,-22.73,211.33,201.02,150.31,150.31,201.98,,-1.43,1.33,-9.29,-9.29,73.16,-241.87,156.51,1.1,3/31/2015,-34.51,168.17,163.84,139.89,139.89,156.48,,-0.51,0.38,-15.34,-15.34,80.41
Plethico Pharmaceuticals Ltd.,200.78,308.38,7.6,9/30/2004,48.98,196.29,144.56,279.74,279.74,202.64,31.34,-99.68,110.88,103.44,105.59,14.02,254.75,225.36,7.6,9/30/2005,75.72,168.35,153.72,353.41,353.41,224.12,29.77,-39.27,28.52,53.97,56.13,15.26,409.73,329.71,34.07,9/30/2006,213.67,245.8,230.43,575.66,575.66,320.8,28.31,-36.46,-25.44,76.32,86.03,27.16,558.99,574.82,34.07,12/31/2007,322.72,415.39,388.55,1018.3,1018.3,555.14,28.07,-255.34,67.4,148.37,158.34,30.68,575.55,540.92,34.07,12/31/2008,192.78,479.53,379.62,1314.07,1314.07,477.77,28.65,-336.52,58.84,50.88,60.85,38.68,644.06,499.38,34.07,12/31/2009,281.36,392.94,338.87,1318.1,1318.1,476.98,27.39,-30.38,149.9,97.11,107.04,36.6,665.17,470.82,34.07,12/31/2010,256.63,411.24,322.08,1349.75,1349.75,454.69,28.55,-48.25,102.71,48.01,57.91,53.94,611.03,494.63,34.07,12/31/2011,-106.89,537.95,374.23,1635.3,1635.3,415.29,27.15,-31.43,-118.68,-37.64,-37.64,787.24,513.3,546.49,34.07,12/31/2012,-248.05,555.31,475.95,1704.21,1704.21,477.01,28.45,-0.97,-51.01,-7.89,-7.89,997.26,504.57,610.08,34.07,3/31/2014,-308.06,613.37,487.55,1703.55,1703.55,537.95,27.05,2.65,42.32,-8.73,-8.73,1068.21
Polar Pharma India Ltd.,-2.5,32.37,11.11,3/31/2002,9.65,34.63,26.77,70.97,70.97,29.32,1.07,,,0.4,0.4,10.52,-2.45,51.71,11.97,3/31/2003,10.02,54.3,47.99,73.19,73.19,51.05,1.02,-4.41,6.31,0.04,0.04,9.72,-2.61,45.55,11.97,3/31/2004,8.98,50.2,40.55,74.33,74.33,44.78,0.97,-3.57,5.43,-0.16,-0.16,9.14,-7.98,36.08,11.97,3/31/2005,11.42,37.74,27.13,67.5,67.5,35.61,1.01,-0.72,6.49,-5.36,-5.36,6.57,-0.74,70.36,12.27,3/31/2006,4.92,65.06,52.64,74.64,74.64,48.18,1.06,-1.21,20.5,6.48,6.48,15.52,-8.74,20.67,12.27,3/31/2007,-5.64,26.9,19.65,68.22,68.22,18.95,1.1,0.87,-6.41,-9.05,-9.05,11.89,-11.28,29.06,12.27,3/31/2008,-12.15,22.35,18.63,61.85,61.85,25.93,1.15,0.58,6.12,-2.57,-2.57,12.08,-79.21,2.16,12.27,3/31/2009,-19.81,68.2,5.94,32.19,32.19,0.29,1.1,0.1,-40.49,-67.93,-67.93,13.19,-95.3,0.15,12.27,3/31/2010,-14.27,16.21,1.54,28.78,28.78,0.03,1.06,0.02,2.39,-16.1,-16.1,7.42,-108.84,11.09,12.27,3/31/2011,-11.4,26.68,11.02,31.47,31.47,10.92,1.01,-0.04,-0.9,-13.53,-13.53,9.13
R V R Technologies Ltd.,-2.02,23.84,4.5,3/31/2010,5.96,21.57,18.18,22.56,22.56,23.68,,,,2.86,2.86,3.42,-0.69,28.64,4.5,3/31/2011,5.57,27.98,26.37,23.58,23.58,28.53,,,,1.33,1.33,5.45,-0.57,24.33,4.5,3/31/2012,5.55,24.33,22.14,24.78,24.78,24.02,,,,0.12,0.12,7.19,-0.1,44.19,4.5,3/31/2013,5.34,43.62,41.67,24.25,24.25,43.98,,,,0.47,0.47,7.36,0.19,36.36,4.5,3/31/2014,6.81,38.17,35.98,27.89,27.89,36.16,,,,0.29,0.29,8.57,0.26,45.47,4.5,3/31/2015,6.54,47.03,44.32,28.96,28.96,45.15,,,,0.11,0.11,11.26,0.32,38.54,4.5,3/31/2016,6.87,40.1,37.77,24.43,24.43,38.38,,,,0.06,0.06,8.86,0.44,50.54,4.5,3/31/2017,7.31,51.37,49.57,25.74,25.74,50.47,,-0.02,1.27,0.12,0.12,10.44,0.4,13.26,4.5,3/31/2018,7.22,14.16,12.38,26.27,26.27,13.16,,-0.07,1.28,-0.04,-0.04,11.18,-0.36,31.24,4.5,3/31/2019,-2,29.75,28.19,24.83,24.83,23.8,,0.03,7.63,-0.76,-0.76,17.17
Raghav Industries Ltd.,65.36,0.26,19.5,3/31/2001,3.13,0.26,0.01,85.14,85.14,,71.18,14.07,-14.03,0,0,0.27,65.38,30.48,19.5,3/31/2002,46.98,56.52,56.33,85.1,85.1,30.29,74.59,-5.68,5.65,0.02,0.02,0.21,65.4,38.03,19.5,3/31/2003,50.84,38.92,38.73,85.19,85.19,38.02,78.2,0.53,-0.62,0.02,0.02,0.2,65.41,18.51,19.5,3/31/2004,49.61,21.64,21.42,87.86,87.86,18.29,81.91,-4.25,4.45,0.02,0.02,2.77,65.25,30.19,19.5,3/31/2005,-0.15,0.23,0.03,87.48,87.48,30.18,86,-58.17,55.76,-0.16,-0.16,0.33,65.3,9.76,19.5,3/31/2006,22.92,9.72,9.69,91,91,9.75,81.71,54.86,-54.96,0.04,0.04,3.8,65.49,43.34,19.5,3/31/2007,-4.32,43.14,42.99,90.64,90.64,37.65,84.83,-12.67,14.08,0.2,0.2,4.65,65.56,27.43,19.5,3/31/2008,37,27.37,27.12,88.77,88.77,25.21,80.64,41.15,-41.65,0.06,0.06,2.21,65.55,26,19.5,3/31/2009,5.1,26,25.78,90.68,90.68,26,76.64,-76.37,76.37,0,0,4.13,65.56,29.93,19.5,3/31/2010,1.02,29.92,29.31,85.23,85.23,29.93,72.84,-2.6,4.09,0.01,0.01,0.17
Rahi Chemicals Ltd.,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,0.57,,,,,,0.33,0.69,1.02,3/31/1993,1.04,0.6,0.52,1.86,1.86,0.68,0.49,,,0.12,0.12,0.19,0.46,1.19,2.71,3/31/1994,2.08,1.1,1,3.9,3.9,1.18,0.57,,,0.13,0.13,0.46,0.64,1.29,4.05,3/31/1995,0.03,1.16,1.06,5.88,5.88,1.28,0.57,,,0.17,0.17,0.54,0.94,1.77,4.05,3/31/1996,-0.52,1.65,1.43,8.65,8.65,1.57,0.4,-2.43,0.37,0.3,0.3,0.92,0.92,1.95,5.04,3/31/1997,-0.49,1.86,1.73,10.05,10.05,1.93,0.06,-1.13,-0.1,-0.02,-0.02,1.07
Religare Enterprises Ltd.,2768.07,138.64,149.3,3/31/2012,0.29,954.85,152.48,3010.73,3010.73,,4478.62,-594.72,-24.51,-816.21,-816.21,10.43,2003.75,274.28,149.4,3/31/2013,5.58,1035.23,59.36,3521.89,3521.89,,4587.15,-1126.36,7.92,-760.95,-760.95,34.43,1879.51,331.58,149.61,3/31/2014,-499.48,461.08,64.74,4010.77,4010.77,,4319.01,-298.46,-66.75,-129.5,-129.5,630.89,2252.76,184.05,178.33,3/31/2015,-1155.03,287.56,47.99,4200.58,4200.58,,4146.63,-130.42,609.39,-103.51,-103.51,1199.83,2336.65,1272.57,178.33,3/31/2016,-520.61,1188.74,31.93,3539.38,3539.38,,4036.5,-246.59,153.74,83.83,83.83,539.02,1676.92,498.61,178.33,3/31/2017,-999.44,657.85,34.18,3422.93,3422.93,,4256.76,-51.34,92.94,-159.24,-159.24,1005,1329.9,86.18,178.46,3/31/2018,-115.32,412.43,144.61,2662.33,2662.33,36.72,3959.89,493.28,-261.94,-326.25,-326.25,601.76,1346.75,37.69,216.94,3/31/2019,-63.59,183.8,36.37,2582.99,2582.99,23.3,3947.12,-86.27,-25.51,-146.11,-146.11,505.3,1252.46,61.12,258.13,3/31/2020,-250.42,371.28,33.99,2521.06,2521.06,16.2,3725.27,-100.5,-9.59,-310.16,-310.16,677.38,1319.77,122.24,259.41,3/31/2021,-107.98,58.24,33.53,2184.07,2184.07,13.28,3797.09,-0.71,7.68,64,64,266.16
Rites Infrastructure Services Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,0.05,3/31/2011,-0.69,0.05,0,0.74,0.74,,,,,-0.05,-0.05,0.74,-0.06,,0.05,3/31/2012,-2.83,0.01,0.01,2.87,2.87,,,,,-0.01,-0.01,2.88,-0.26,,0.05,3/31/2013,-4.68,0.21,0.21,4.52,4.52,,,-1.65,1.65,-0.21,-0.21,4.73,-0.21,0.26,0.05,3/31/2014,-10.55,0.21,0.29,10.7,10.7,0.26,,-5.84,5.84,0.05,0.05,10.86,-0.11,53.97,0.05,3/31/2015,-26.86,53.87,53.8,26.96,26.96,53.97,,-11.51,11.51,0.1,0.1,27.02,-0.52,13.69,0.05,3/31/2016,-6.84,14.1,13.67,15.26,15.26,13.69,,6.61,-6.57,-0.41,-0.41,15.73
Rosebys Interiors India Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,0.05,3/31/2008,-160.05,0.05,0.05,160.05,160.05,,,-159.6,159.55,-0.05,-0.05,160.05,-8.1,5.47,0.05,3/31/2009,-6.16,15.94,12.21,98.98,98.98,5.47,,-93.29,-3.58,-8.06,-8.06,8.47,-22.54,70.59,0.05,3/31/2010,-21.86,87.1,74.11,160.77,160.77,70.44,,-32.76,-0.11,-14.44,-14.44,46.77,-35.8,82.28,0.05,3/31/2011,-27.85,98.59,91.37,143.43,143.43,78.94,,-7.99,-7.05,-18.26,-18.26,26.59
