,Paid up equity capital (net of forfeited equity capital),Reserves and Funds,Date,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Months,Company,Equity
620,136.62,714.81,3/31/2012,1585.94,1553.21,2405.45,2405.45,549.06,49.32,1561.27,5.18,-594.61,12.0,J K Paper Ltd.,851.43
621,136.62,738.87,3/31/2013,1760.2,1735.12,3088.63,3088.63,572.65,37.7,1730.37,123.72,-791.66,12.0,J K Paper Ltd.,875.49
622,136.62,661.49,3/31/2014,2081.02,2218.89,3735.9,3735.9,886.91,-77.19,2047.15,130.23,-332.01,12.0,J K Paper Ltd.,798.11
623,136.62,641.38,3/31/2015,2555.76,2607.1,3646.8,3646.8,883.67,-24.07,2541.72,253.97,-50.02,12.0,J K Paper Ltd.,778.0
624,148.53,962.56,3/31/2016,2851.51,2770.32,3834.73,3834.73,846.74,60.87,2831.35,403.5,-33.51,12.0,J K Paper Ltd.,1111.09
625,155.96,1150.1,3/31/2017,3050.82,2894.43,3933.13,3933.13,833.0,162.83,3023.25,561.32,-259.72,12.0,J K Paper Ltd.,1306.06
626,175.5,1470.09,3/31/2018,3177.22,2920.87,3900.01,3900.01,793.85,260.14,3129.79,555.44,46.5,12.0,J K Paper Ltd.,1645.59
627,178.24,1862.97,3/31/2019,3556.86,3072.46,4502.1,4502.1,818.59,437.2,3500.48,913.44,-897.54,12.0,J K Paper Ltd.,2041.21
628,178.24,2189.81,3/31/2020,3383.13,3014.02,4916.38,4916.38,940.87,492.71,3286.75,636.48,-298.26,12.0,J K Paper Ltd.,2368.05
629,169.4,2430.82,3/31/2021,3069.62,2656.09,6161.91,6161.91,1048.76,322.19,2978.89,559.66,-1325.63,12.0,J K Paper Ltd.,2600.2200000000003
630,1.0,2.12,3/31/2009,0.34,0.14,3.76,3.76,0.22,0.2,,-0.3,0.3,12.0,Jagat Trading Enterprises Ltd.,3.12
631,1.0,3.43,3/31/2010,1.54,0.23,4.88,4.88,0.43,1.31,,-0.12,0.69,12.0,Jagat Trading Enterprises Ltd.,4.43
632,1.0,9.44,3/31/2011,7.39,1.39,12.09,12.09,1.65,6.0,,-2.74,4.06,12.0,Jagat Trading Enterprises Ltd.,10.44
633,1.0,10.56,3/31/2013,0.82,0.77,11.63,11.63,0.01,0.05,,0.35,-0.37,12.0,Jagat Trading Enterprises Ltd.,11.56
634,1.0,10.28,3/31/2014,0.59,0.87,11.36,11.36,0.01,-0.28,,2.68,-2.53,12.0,Jagat Trading Enterprises Ltd.,11.28
635,1.0,9.72,3/31/2017,1.28,1.23,10.83,10.83,0.02,0.05,,0.77,-0.68,12.0,Jagat Trading Enterprises Ltd.,10.72
636,1.0,9.81,3/31/2018,1.57,1.47,13.61,13.61,2.67,0.1,0.01,-0.34,-2.08,12.0,Jagat Trading Enterprises Ltd.,10.81
637,5.08,4.01,3/31/2019,0.4,2.26,11.63,11.63,0.29,-1.86,0.01,0.35,0.21,12.0,Jagat Trading Enterprises Ltd.,9.09
638,5.08,2.15,3/31/2020,0.5,2.36,9.35,9.35,0.3,-1.86,0.01,-0.5,0.62,12.0,Jagat Trading Enterprises Ltd.,7.23
639,5.08,4.83,3/31/2021,3.85,1.18,13.01,13.01,0.34,2.67,0.01,-1.42,0.78,12.0,Jagat Trading Enterprises Ltd.,9.91
640,,,,,,,,,,,,,,Jay Agrochem Ltd.,
641,,,,,,,,,,,,,,Jay Agrochem Ltd.,
642,,,,,,,,,,,,,,Jay Agrochem Ltd.,
643,,,,,,,,,,,,,,Jay Agrochem Ltd.,
644,,,,,,,,,,,,,,Jay Agrochem Ltd.,
645,,,,,,,,,,,,,,Jay Agrochem Ltd.,
646,3.68,0.23,3/31/1994,6.24,6.38,6.91,6.91,2.23,0.17,6.18,,,12.0,Jay Agrochem Ltd.,3.91
647,4.03,1.47,3/31/1995,15.56,15.12,12.11,12.11,3.94,1.65,15.52,,,12.0,Jay Agrochem Ltd.,5.5
648,4.07,4.95,3/31/1996,30.04,33.03,36.96,36.96,13.04,3.85,29.97,-5.74,-5.16,12.0,Jay Agrochem Ltd.,9.02
649,4.07,6.51,3/31/1997,45.38,45.55,56.46,56.46,22.69,1.79,45.23,3.64,-5.96,12.0,Jay Agrochem Ltd.,10.58
650,,,,,,,,,,,,,,Jay Vinyls Ltd.,
651,,,,,,,,,,,,,,Jay Vinyls Ltd.,
652,,,,,,,,,,,,,,Jay Vinyls Ltd.,
653,,,,,,,,,,,,,,Jay Vinyls Ltd.,
654,,,,,,,,,,,,,,Jay Vinyls Ltd.,
655,,,,,,,,,,,,,,Jay Vinyls Ltd.,
656,0.37,,3/31/1994,,,0.55,0.55,0.01,,,,,12.0,Jay Vinyls Ltd.,
657,12.81,0.01,3/31/1995,0.19,0.18,22.42,22.42,1.1,0.01,,,,12.0,Jay Vinyls Ltd.,12.82
658,12.81,-2.76,3/31/1996,45.65,52.63,38.51,38.51,7.04,-2.77,45.65,-6.38,-4.54,12.0,Jay Vinyls Ltd.,10.05
659,12.81,-7.65,3/31/1997,25.31,33.49,37.92,37.92,3.63,-4.89,25.31,-8.02,-0.22,12.0,Jay Vinyls Ltd.,5.16
660,0.97,2.02,3/31/1989,8.57,8.73,8.94,8.94,4.14,0.16,8.46,,,9.0,Jayant Paper Mills Ltd.,2.99
661,0.97,2.24,3/31/1990,15.78,15.04,10.99,10.99,5.88,0.41,15.6,,,12.0,Jayant Paper Mills Ltd.,3.21
662,0.97,2.53,3/31/1991,19.8,19.75,11.93,11.93,6.48,0.53,19.71,,,12.0,Jayant Paper Mills Ltd.,3.5
663,1.26,2.68,3/31/1992,19.45,20.05,12.28,12.28,6.17,-0.03,18.42,,,12.0,Jayant Paper Mills Ltd.,3.9400000000000004
664,1.26,-0.87,3/31/1993,25.65,29.61,12.39,12.39,9.87,-3.55,24.78,,,12.0,Jayant Paper Mills Ltd.,0.39
665,1.26,0.5,3/31/1994,28.96,26.4,13.76,13.76,9.27,1.5,28.4,,,12.0,Jayant Paper Mills Ltd.,1.76
666,1.26,2.51,3/31/1995,33.06,30.78,16.83,16.83,9.13,2.41,32.79,,,12.0,Jayant Paper Mills Ltd.,3.7699999999999996
667,1.85,5.31,3/31/1996,36.29,35.46,24.33,24.33,10.71,1.24,35.77,1.94,-6.29,12.0,Jayant Paper Mills Ltd.,7.16
668,2.21,24.61,3/31/1997,44.51,44.12,50.4,50.4,12.64,0.01,42.74,-2.58,-5.45,12.0,Jayant Paper Mills Ltd.,26.82
669,2.38,14.44,3/31/1998,9.13,18.56,44.56,44.56,14.27,-9.95,8.94,1.77,-3.23,12.0,Jayant Paper Mills Ltd.,16.82
670,5.89,31.7,3/31/2012,39.27,37.08,68.85,68.85,11.44,2.19,33.27,3.52,-4.95,12.0,Jetking Infotrain Ltd.,37.589999999999996
671,5.89,34.17,3/31/2013,36.02,32.86,66.83,66.83,6.03,3.16,33.0,1.54,1.91,12.0,Jetking Infotrain Ltd.,40.06
672,5.89,36.09,3/31/2014,31.48,28.87,70.26,70.26,6.4,2.61,28.84,4.0,-3.91,12.0,Jetking Infotrain Ltd.,41.980000000000004
673,5.89,37.41,3/31/2015,29.98,27.67,60.1,60.1,5.04,2.31,25.72,4.6,-1.61,12.0,Jetking Infotrain Ltd.,43.3
674,5.89,38.08,3/31/2016,26.05,25.38,59.74,59.74,3.97,0.67,24.66,1.68,-2.7,12.0,Jetking Infotrain Ltd.,43.97
675,5.89,39.14,3/31/2017,29.12,27.34,54.2,54.2,3.77,1.78,23.56,0.94,-1.19,12.0,Jetking Infotrain Ltd.,45.03
676,5.91,39.56,3/31/2018,25.37,24.91,58.01,58.01,7.35,0.46,21.33,-0.06,0.18,12.0,Jetking Infotrain Ltd.,45.47
677,5.91,38.52,3/31/2019,22.93,24.09,57.43,57.43,4.16,-1.16,21.77,-4.67,3.82,12.0,Jetking Infotrain Ltd.,44.43000000000001
678,5.91,32.41,3/31/2020,19.58,25.78,48.19,48.19,4.35,-6.2,18.41,-6.17,6.83,12.0,Jetking Infotrain Ltd.,38.31999999999999
679,5.91,32.36,3/31/2021,14.82,14.94,47.31,47.31,3.49,-0.12,8.51,-0.27,1.95,12.0,Jetking Infotrain Ltd.,38.269999999999996
680,26.75,78.46,3/31/1999,174.08,180.0,886.61,886.61,122.81,0.44,171.25,15.09,-69.74,12.0,Jhagadia Copper Ltd.,105.21
681,26.75,72.72,3/31/2000,179.77,192.43,1030.08,1030.08,121.77,-5.68,176.94,12.05,-42.05,12.0,Jhagadia Copper Ltd.,99.47
682,19.97,38.32,3/31/2001,0.03,0.4,965.21,965.21,45.86,-0.37,,13.61,-66.0,12.0,Jhagadia Copper Ltd.,58.29
683,109.86,38.59,3/31/2002,0.31,0.04,1090.55,1090.55,39.13,0.27,,-11.48,-47.07,12.0,Jhagadia Copper Ltd.,148.45
684,109.86,38.59,3/31/2003,,,1203.37,1203.37,48.63,,,17.89,-34.79,12.0,Jhagadia Copper Ltd.,148.45
685,109.86,38.59,3/31/2004,,,1315.59,1315.59,113.02,,,40.49,-58.38,12.0,Jhagadia Copper Ltd.,148.45
686,97.25,38.59,9/30/2005,,,1471.73,1471.73,153.75,,,-2.69,-25.3,18.0,Jhagadia Copper Ltd.,135.84
687,124.17,-21.29,9/30/2006,238.72,302.22,1531.87,1531.87,59.66,-56.47,238.47,,,12.0,Jhagadia Copper Ltd.,102.88
688,124.17,-297.54,3/31/2008,405.15,690.6,1403.42,1403.42,101.65,-270.02,377.6,12.99,-3.1,18.0,Jhagadia Copper Ltd.,-173.37
689,124.17,-552.02,3/31/2009,369.47,572.05,1265.57,1265.57,174.16,-257.86,368.64,69.15,-0.07,12.0,Jhagadia Copper Ltd.,-427.84999999999997
690,0.35,0.54,6/30/1992,7.05,6.49,2.23,2.23,0.6,0.66,6.55,,,12.0,Kanoria Dyechem Ltd.,0.89
691,0.43,0.57,6/30/1993,4.5,4.36,2.36,2.36,0.83,0.06,4.37,,,12.0,Kanoria Dyechem Ltd.,1.0
692,0.6,0.67,3/31/1994,3.56,3.43,3.55,3.55,1.01,0.29,3.51,,,9.0,Kanoria Dyechem Ltd.,1.27
693,3.95,1.04,3/31/1995,6.13,5.69,8.16,8.16,1.73,0.46,6.04,,,12.0,Kanoria Dyechem Ltd.,4.99
694,3.98,2.23,3/31/1996,15.96,15.48,15.34,15.34,4.8,1.19,15.91,3.62,-6.16,12.0,Kanoria Dyechem Ltd.,6.21
695,4.0,3.41,3/31/1997,27.2,25.44,19.71,19.71,5.29,1.39,27.11,2.57,-4.17,12.0,Kanoria Dyechem Ltd.,7.41
696,4.0,6.25,3/31/1998,39.63,37.05,36.91,36.91,8.0,3.06,39.61,0.71,-10.85,12.0,Kanoria Dyechem Ltd.,10.25
697,4.0,1.35,3/31/1999,35.35,40.61,38.34,38.34,11.65,-4.9,34.87,2.94,-2.1,12.0,Kanoria Dyechem Ltd.,5.35
698,4.0,-8.66,3/31/2000,39.92,49.61,36.75,36.75,16.79,-10.0,39.68,2.18,-0.88,12.0,Kanoria Dyechem Ltd.,-4.66
699,4.0,-15.71,3/31/2001,37.27,43.46,33.03,33.03,20.88,-7.06,37.23,0.78,0.24,12.0,Kanoria Dyechem Ltd.,-11.71
700,0.2,-4.32,3/31/1997,0.59,1.16,15.83,15.83,2.26,-0.56,0.47,-0.39,0.05,12.0,Karanpura Development Co. Ltd.,-4.12
701,0.2,-4.47,3/31/2001,1.83,2.05,20.44,20.44,1.84,-0.22,1.74,0.13,0.01,12.0,Karanpura Development Co. Ltd.,-4.27
702,0.2,-5.2,3/31/2002,2.12,2.82,24.37,24.37,1.76,-0.7,1.89,-0.06,0.15,12.0,Karanpura Development Co. Ltd.,-5.0
703,0.2,-6.08,3/31/2003,2.02,2.9,29.08,29.08,1.55,-0.88,1.93,-0.02,-0.02,12.0,Karanpura Development Co. Ltd.,-5.88
704,0.2,-7.16,3/31/2004,1.71,2.79,34.88,34.88,1.55,-1.08,1.64,0.0,0.02,12.0,Karanpura Development Co. Ltd.,-6.96
705,0.2,-8.51,3/31/2005,1.9,3.28,42.24,42.24,1.68,-1.35,1.86,-0.05,0.01,12.0,Karanpura Development Co. Ltd.,-8.31
706,0.2,-10.14,3/31/2006,2.02,3.63,50.65,50.65,1.59,-1.63,1.97,0.01,0.02,12.0,Karanpura Development Co. Ltd.,-9.940000000000001
707,0.2,-12.35,3/31/2007,1.83,4.08,61.03,61.03,1.86,-2.21,1.79,-0.12,0.03,12.0,Karanpura Development Co. Ltd.,-12.15
708,0.2,-14.91,3/31/2008,1.56,4.07,73.28,73.28,1.83,-2.56,1.52,-0.05,0.04,12.0,Karanpura Development Co. Ltd.,-14.71
709,0.2,-17.47,3/31/2009,1.78,4.34,88.09,88.09,1.26,-2.56,1.28,0.02,0.03,12.0,Karanpura Development Co. Ltd.,-17.27
710,,,,,,,,,,,,,,Karnataka Financial Services Ltd.,
711,,,,,,,,,,,,,,Karnataka Financial Services Ltd.,
712,2.5,2.01,3/31/1995,3.98,2.83,35.89,35.89,4.68,1.15,,2.43,-0.76,12.0,Karnataka Financial Services Ltd.,4.51
713,5.0,4.95,3/31/1996,8.55,7.09,42.37,42.37,9.1,1.46,,-0.58,-1.11,12.0,Karnataka Financial Services Ltd.,9.95
714,5.0,3.58,3/31/1997,9.98,9.38,52.12,52.12,10.64,0.6,,-3.47,1.24,12.0,Karnataka Financial Services Ltd.,8.58
715,5.0,3.7,3/31/1998,13.86,13.74,62.29,62.29,12.49,0.12,,-4.95,1.24,12.0,Karnataka Financial Services Ltd.,8.7
716,5.0,3.37,3/31/1999,14.06,14.39,60.32,60.32,13.29,-0.33,,1.51,5.48,12.0,Karnataka Financial Services Ltd.,8.370000000000001
717,5.0,-1.0,3/31/2000,10.02,14.39,52.9,52.9,8.57,-4.37,0.07,7.55,-1.13,12.0,Karnataka Financial Services Ltd.,4.0
718,5.0,-29.59,3/31/2001,3.17,31.76,39.21,39.21,22.24,-28.59,,2.33,3.65,12.0,Karnataka Financial Services Ltd.,-24.59
719,5.0,-45.36,3/31/2002,3.04,18.81,28.53,28.53,25.43,-15.77,0.03,3.26,-0.05,12.0,Karnataka Financial Services Ltd.,-40.36
720,,,,,,,,,,,,,,Karuturi Flower Express Pvt. Ltd.,
721,,,,,,,,,,,,,,Karuturi Flower Express Pvt. Ltd.,
722,,,,,,,,,,,,,,Karuturi Flower Express Pvt. Ltd.,
723,,,,,,,,,,,,,,Karuturi Flower Express Pvt. Ltd.,
724,,,,,,,,,,,,,,Karuturi Flower Express Pvt. Ltd.,
725,,,,,,,,,,,,,,Karuturi Flower Express Pvt. Ltd.,
726,,,,,,,,,,,,,,Karuturi Flower Express Pvt. Ltd.,
727,,,,,,,,,,,,,,Karuturi Flower Express Pvt. Ltd.,
728,,,,,,,,,,,,,,Karuturi Flower Express Pvt. Ltd.,
729,0.05,-0.29,3/31/2009,0.62,0.92,0.35,0.35,0.32,-0.29,0.62,-0.18,-0.14,13.0,Karuturi Flower Express Pvt. Ltd.,-0.24
730,,,,,,,,,,,,,,Karuturi Foods Pvt. Ltd.,
731,,,,,,,,,,,,,,Karuturi Foods Pvt. Ltd.,
732,,,,,,,,,,,,,,Karuturi Foods Pvt. Ltd.,
733,,,,,,,,,,,,,,Karuturi Foods Pvt. Ltd.,
734,,,,,,,,,,,,,,Karuturi Foods Pvt. Ltd.,
735,,,,,,,,,,,,,,Karuturi Foods Pvt. Ltd.,
736,,,,,,,,,,,,,,Karuturi Foods Pvt. Ltd.,
737,,,,,,,,,,,,,,Karuturi Foods Pvt. Ltd.,
738,,,,,,,,,,,,,,Karuturi Foods Pvt. Ltd.,
739,0.05,0.89,3/31/2009,12.3,14.56,9.77,9.77,1.3,0.89,12.08,-6.6,-0.87,13.0,Karuturi Foods Pvt. Ltd.,0.9400000000000001
740,,,,,,,,,,,,,,Kengold (India) Ltd.,
741,,,,,,,,,,,,,,Kengold (India) Ltd.,
742,,,,,,,,,,,,,,Kengold (India) Ltd.,
743,0.34,,3/31/1994,,,0.65,0.65,,,,,,12.0,Kengold (India) Ltd.,
744,8.02,,3/31/1995,,,8.62,8.62,0.56,,,,,12.0,Kengold (India) Ltd.,
745,8.02,,3/31/1996,2.87,3.14,11.61,11.61,1.98,0.01,2.59,0.73,-4.48,12.0,Kengold (India) Ltd.,
746,8.02,-0.82,3/31/1998,1.82,2.68,9.76,9.76,0.67,-0.53,1.54,-0.43,-0.02,12.0,Kengold (India) Ltd.,7.199999999999999
747,8.02,-1.71,3/31/1999,2.23,2.77,9.07,9.07,0.5,-0.89,2.11,-0.26,-0.12,12.0,Kengold (India) Ltd.,6.31
748,3.94,2.13,3/31/2000,22.28,23.21,19.3,19.3,8.45,-2.31,22.15,-0.82,0.26,12.0,Kengold (India) Ltd.,6.07
749,9.52,-0.09,6/30/2001,37.7,41.45,19.55,19.55,4.6,-2.22,37.07,-1.16,1.28,15.0,Kengold (India) Ltd.,9.43
750,,,,,,,,,,,,,,Khamgaon Syntex India Ltd.,
751,,,,,,,,,,,,,,Khamgaon Syntex India Ltd.,
752,,,,,,,,,,,,,,Khamgaon Syntex India Ltd.,
753,,,,,,,,,,,,,,Khamgaon Syntex India Ltd.,
754,,,,,,,,,,,,,,Khamgaon Syntex India Ltd.,
755,,,,,,,,,,,,,,Khamgaon Syntex India Ltd.,
756,0.05,,9/30/2003,,,0.05,0.05,,,,,,15.0,Khamgaon Syntex India Ltd.,
757,0.05,0.21,3/31/2005,12.34,12.15,22.48,22.48,6.44,0.21,11.44,,,18.0,Khamgaon Syntex India Ltd.,0.26
758,0.05,1.14,3/31/2006,48.38,47.21,24.55,24.55,9.74,0.93,48.25,5.08,-0.58,12.0,Khamgaon Syntex India Ltd.,1.19
759,0.05,0.28,3/31/2007,16.57,18.58,7.66,7.66,0.42,-0.86,16.44,-1.98,6.98,12.0,Khamgaon Syntex India Ltd.,0.33
760,15.53,8.92,3/31/2004,68.22,67.66,86.99,86.99,26.3,0.56,63.5,-13.82,-14.87,12.0,Kingfisher Airlines Ltd.,24.45
761,16.2,-2.54,3/31/2005,320.86,340.39,407.98,407.98,103.37,-19.53,307.88,-14.02,-171.6,12.0,Kingfisher Airlines Ltd.,13.66
762,98.18,125.95,6/30/2006,1351.82,1692.37,1051.98,1051.98,349.62,-340.55,1286.66,-179.98,-345.55,15.0,Kingfisher Airlines Ltd.,224.13
763,135.47,249.23,6/30/2007,2168.37,2587.95,1803.12,1803.12,484.23,-419.58,1801.34,-552.36,119.25,12.0,Kingfisher Airlines Ltd.,384.7
764,135.8,63.07,3/31/2008,1569.9,1758.04,1830.07,1830.07,651.11,-188.14,1456.28,-519.55,13.82,9.0,Kingfisher Airlines Ltd.,198.87
765,265.91,-2488.26,3/31/2009,6236.04,7844.87,7444.78,7444.78,3535.12,-1608.83,5354.8,-782.08,455.12,12.0,Kingfisher Airlines Ltd.,-2222.3500000000004
766,265.91,-4233.38,3/31/2010,5361.82,7106.31,8006.95,8006.95,3531.19,-1744.49,5089.88,-1701.65,360.4,12.0,Kingfisher Airlines Ltd.,-3967.4700000000003
767,497.78,-4002.08,3/31/2011,6500.09,7527.49,8618.39,8618.39,4871.44,-1027.4,6359.64,-16.05,95.19,12.0,Kingfisher Airlines Ltd.,-3504.3
768,577.65,-6213.15,3/31/2012,5826.86,8154.87,9362.51,9362.51,8486.08,-2328.01,5493.41,-906.61,-307.2,12.0,Kingfisher Airlines Ltd.,-5635.5
769,808.72,-14281.64,3/31/2013,683.46,9030.45,2983.9,2983.9,8912.17,-8346.99,501.38,-1428.79,-39.51,12.0,Kingfisher Airlines Ltd.,-13472.92
770,,,,,,,,,,,,,,Krishna Plastochem Ltd.,
771,,,,,,,,,,,,,,Krishna Plastochem Ltd.,
772,,,,,,,,,,,,,,Krishna Plastochem Ltd.,
773,5.68,0.41,3/31/1993,3.82,3.47,7.68,7.68,0.68,0.39,3.73,,,12.0,Krishna Plastochem Ltd.,6.09
774,5.68,0.73,3/31/1994,12.33,12.13,15.98,15.98,2.98,0.86,12.21,,,12.0,Krishna Plastochem Ltd.,6.41
775,5.68,3.31,3/31/1995,19.56,16.03,16.28,16.28,3.79,3.42,19.35,,,12.0,Krishna Plastochem Ltd.,8.99
776,5.68,6.72,3/31/1996,41.69,38.68,24.64,24.64,3.6,3.98,41.51,,,12.0,Krishna Plastochem Ltd.,12.399999999999999
777,5.68,10.1,3/31/1997,41.3,37.66,28.06,28.06,3.45,3.95,41.14,9.23,-5.69,12.0,Krishna Plastochem Ltd.,15.78
778,5.68,13.03,3/31/1998,41.65,38.84,36.35,36.35,4.72,3.23,41.55,3.12,-3.14,12.0,Krishna Plastochem Ltd.,18.71
779,5.68,14.82,3/31/1999,36.31,34.55,39.79,39.79,4.48,1.79,35.94,3.38,-1.96,12.0,Krishna Plastochem Ltd.,20.5
780,,,,,,,,,,,,,,Magna Steyr India Pvt. Ltd. [Merged],
781,,,,,,,,,,,,,,Magna Steyr India Pvt. Ltd. [Merged],
782,,,,,,,,,,,,,,Magna Steyr India Pvt. Ltd. [Merged],
783,,,,,,,,,,,,,,Magna Steyr India Pvt. Ltd. [Merged],
784,,,,,,,,,,,,,,Magna Steyr India Pvt. Ltd. [Merged],
785,,,,,,,,,,,,,,Magna Steyr India Pvt. Ltd. [Merged],
786,30.0,-17.88,3/31/2014,72.2,68.79,40.34,40.34,26.63,3.41,71.54,7.57,-3.37,15.0,Magna Steyr India Pvt. Ltd. [Merged],12.120000000000001
787,30.0,-16.65,3/31/2015,62.63,61.4,40.69,40.69,27.04,1.23,62.27,0.69,-2.02,12.0,Magna Steyr India Pvt. Ltd. [Merged],13.350000000000001
788,30.0,-9.85,3/31/2016,71.61,64.81,48.66,48.66,27.82,6.8,70.84,1.99,-2.05,12.0,Magna Steyr India Pvt. Ltd. [Merged],20.15
789,30.0,-6.63,3/31/2017,67.6,64.37,46.2,46.2,22.46,3.23,67.05,0.61,-1.71,12.0,Magna Steyr India Pvt. Ltd. [Merged],23.37
790,3.84,2.01,3/31/1993,23.32,21.55,13.59,13.59,5.19,1.56,23.32,,,12.0,Mahendra Petrochemicals Ltd.,5.85
791,15.97,14.96,3/31/1994,25.85,24.31,40.56,40.56,6.07,1.61,25.85,,,12.0,Mahendra Petrochemicals Ltd.,30.93
792,17.86,19.44,6/30/1995,30.95,30.2,72.6,72.6,4.54,2.6,30.9,5.76,-41.81,15.0,Mahendra Petrochemicals Ltd.,37.3
793,17.87,19.7,6/30/1996,80.73,81.66,81.22,81.22,5.97,0.25,80.7,0.73,-2.17,12.0,Mahendra Petrochemicals Ltd.,37.57
794,17.87,20.12,6/30/1997,94.6,94.51,79.51,79.51,5.86,0.42,94.57,9.07,-1.15,12.0,Mahendra Petrochemicals Ltd.,37.99
795,17.87,16.99,6/30/1998,83.0,83.71,81.88,81.88,7.63,-0.49,82.87,6.43,-3.6,12.0,Mahendra Petrochemicals Ltd.,34.86
796,17.92,-53.89,9/30/2002,114.44,121.15,45.55,45.55,14.27,-5.88,114.44,2.01,-2.35,12.0,Mahendra Petrochemicals Ltd.,-35.97
797,17.92,-53.52,9/30/2003,109.12,109.94,48.0,48.0,16.63,0.37,109.12,5.58,-5.07,12.0,Mahendra Petrochemicals Ltd.,-35.6
798,17.92,-53.61,9/30/2005,62.18,71.27,42.68,42.68,18.24,-8.63,62.1,4.85,-3.97,12.0,Mahendra Petrochemicals Ltd.,-35.69
799,17.92,-57.32,9/30/2006,45.84,47.52,33.93,33.93,12.8,-3.71,45.74,0.46,0.08,12.0,Mahendra Petrochemicals Ltd.,-39.4
800,36.48,164.27,3/31/1995,253.34,208.93,461.5,461.5,28.26,37.13,227.81,,,12.0,Mardia Chemicals Ltd.,200.75
801,39.88,318.46,3/31/1996,284.46,270.82,675.59,675.59,28.84,30.09,227.22,54.77,-209.01,12.0,Mardia Chemicals Ltd.,358.34
802,39.88,247.93,3/31/1997,160.93,222.2,796.53,796.53,25.02,-70.54,158.67,62.6,-186.53,12.0,Mardia Chemicals Ltd.,287.81
803,39.88,233.37,3/31/1998,192.13,204.82,998.18,998.18,47.53,-14.56,190.25,108.39,-219.81,12.0,Mardia Chemicals Ltd.,273.25
804,39.88,-125.53,3/31/1999,196.33,558.53,861.02,861.02,140.74,-358.9,194.3,64.61,-45.17,12.0,Mardia Chemicals Ltd.,-85.65
805,39.88,-407.57,3/31/2000,207.12,493.36,762.4,762.4,142.0,-282.04,206.25,-8.93,-15.3,12.0,Mardia Chemicals Ltd.,-367.69
806,39.88,-470.91,3/31/2001,328.93,390.49,911.25,911.25,143.23,-63.33,149.89,-0.22,-15.85,12.0,Mardia Chemicals Ltd.,-431.03000000000003
807,39.88,-788.3,3/31/2002,199.14,508.98,860.45,860.45,147.19,-317.39,198.04,-4.81,1.55,12.0,Mardia Chemicals Ltd.,-748.42
808,39.88,-823.56,3/31/2003,221.24,251.38,809.38,809.38,108.9,-35.26,219.02,-21.27,0.0,12.0,Mardia Chemicals Ltd.,-783.68
809,39.88,-875.86,3/31/2004,137.4,180.23,748.99,748.99,98.22,-52.31,133.56,-4.19,0.02,12.0,Mardia Chemicals Ltd.,-835.98
810,,,,,,,,,,,,,,Mayo Hospitals Ltd.,
811,,,,,,,,,,,,,,Mayo Hospitals Ltd.,
812,,,,,,,,,,,,,,Mayo Hospitals Ltd.,
813,,,,,,,,,,,,,,Mayo Hospitals Ltd.,
814,,,,,,,,,,,,,,Mayo Hospitals Ltd.,
815,12.72,,3/31/1993,,,42.71,42.71,5.06,,,,,12.0,Mayo Hospitals Ltd.,
816,13.86,,3/31/1994,,,50.57,50.57,6.17,,,,,12.0,Mayo Hospitals Ltd.,
817,14.92,0.94,3/31/1995,3.57,2.63,59.08,59.08,3.57,0.94,3.52,,,12.0,Mayo Hospitals Ltd.,15.86
818,14.95,-10.4,3/31/1996,5.03,16.37,57.83,57.83,3.9,-11.34,4.99,1.82,-1.45,12.0,Mayo Hospitals Ltd.,4.549999999999999
819,15.0,-20.94,3/31/1997,6.95,17.49,58.74,58.74,6.55,-10.54,5.91,2.6,-4.53,12.0,Mayo Hospitals Ltd.,-5.940000000000001
820,,,,,,,,,,,,,,Medexport (India) Ltd.,
821,,,,,,,,,,,,,,Medexport (India) Ltd.,
822,,,,,,,,,,,,,,Medexport (India) Ltd.,
823,1.88,0.01,3/31/2014,0.03,0.03,1.91,1.91,0.02,0.0,,,,12.0,Medexport (India) Ltd.,1.89
824,3.15,0.04,3/31/2015,0.23,0.2,3.26,3.26,0.07,0.03,,,,12.0,Medexport (India) Ltd.,3.19
825,7.0,0.04,3/31/2016,0.13,0.13,7.35,7.35,0.31,0.0,0.13,2.12,-6.28,12.0,Medexport (India) Ltd.,7.04
826,7.0,0.04,3/31/2017,0.1,0.1,7.46,7.46,0.42,0.0,0.1,2.02,-2.07,12.0,Medexport (India) Ltd.,7.04
827,7.0,0.04,3/31/2018,0.11,0.11,7.51,7.51,0.47,0.0,0.11,-0.06,0.06,12.0,Medexport (India) Ltd.,7.04
828,7.0,0.04,3/31/2019,0.12,0.12,7.59,7.59,0.55,0.0,0.12,0.08,-0.06,12.0,Medexport (India) Ltd.,7.04
829,7.0,0.04,3/31/2020,0.2,0.2,7.74,7.74,0.7,0.0,0.08,0.15,-0.17,12.0,Medexport (India) Ltd.,7.04
830,,,,,,,,,,,,,,Metal Link Alloys Ltd.,
831,,,,,,,,,,,,,,Metal Link Alloys Ltd.,
832,3.56,7.94,3/31/2006,112.08,111.2,47.32,47.32,17.23,1.01,111.85,-1.16,-0.98,12.0,Metal Link Alloys Ltd.,11.5
833,3.56,9.25,3/31/2007,144.45,145.68,51.84,51.84,13.44,1.52,143.53,1.29,-4.71,12.0,Metal Link Alloys Ltd.,12.81
